"Subtype","host.target.pair","hits.count","host.acc.","phages.targeted","target.acc.","hosts.targeting","PPS_location","Spacers"
"I-B","GCF_000353425.1$1_534360-587025_BA000043_PHAGE_Geobac_GBSV1$merged_1_262451-307087_CP003125_PHAGE_Clostr_phiC2$merged_AB823818$RevComp$$merged_1_355-38054_NC_021784_PHAGE_Thermu_OH2_NC_021784(60)$RevComp$",2,"GCF_000353425.1",1,"1_534360-587025_BA000043_PHAGE_Geobac_GBSV1$merged_1_262451-307087_CP003125_PHAGE_Clostr_phiC2$merged_AB823818$RevComp$$merged_1_355-38054_NC_021784_PHAGE_Thermu_OH2_NC_021784(60)$RevComp$",1,36676,"c(7, 2)"
"I-B","GCF_000155045.1$LN881738$merged_KU057941$RevComp$",2,"GCF_000155045.1",2,"LN881738$merged_KU057941$RevComp$",1,38281,"c(7, 5)"
"I-B","GCF_000451325.2$4_3542647-3580609_FN668375_PHAGE_Clostr_phiMMP04$RevComp$$merged_4_3565550-3603546_FN665652_PHAGE_Clostr_phiMMP04$RevComp$",2,"GCF_000451325.2",4,"4_3542647-3580609_FN668375_PHAGE_Clostr_phiMMP04$RevComp$$merged_4_3565550-3603546_FN665652_PHAGE_Clostr_phiMMP04$RevComp$",1,5008,"c(7, 2)"
"I-B","GCF_000451745.2$1_108396-140193_AEBX00000000_PROPHAGE_Staphy_N315$RevComp$$merged_2_743834-763980_ACGM00000000_PROPHAGE_Staphy_N315$RevComp$$merged_6_2363487-2386224_ACAN00000000_PHAGE_Phage_OH2(1)$RevComp$$merged_4_1221262-1244666_AEBW00000000_PROPHAGE_Staphy_N315$RevComp$$merged_3_1634190-1659375_AEBV00000000_PROPHAGE_Staphy_N315$RevComp$$merged_8_1874166-1896567_AECA00000000_PROPHAGE_Staphy_N315$RevComp$$merged_3_1462182-1484787_AEBB00000000_PHAGE_Deep_s_D6E$RevComp$",2,"GCF_000451745.2",2,"1_108396-140193_AEBX00000000_PROPHAGE_Staphy_N315$RevComp$$merged_2_743834-763980_ACGM00000000_PROPHAGE_Staphy_N315$RevComp$$merged_6_2363487-2386224_ACAN00000000_PHAGE_Phage_OH2(1)$RevComp$$merged_4_1221262-1244666_AEBW00000000_PROPHAGE_Staphy_N315$RevComp$$merged_3_1634190-1659375_AEBV00000000_PROPHAGE_Staphy_N315$RevComp$$merged_8_1874166-1896567_AECA00000000_PROPHAGE_Staphy_N315$RevComp$$merged_3_1462182-1484787_AEBB00000000_PHAGE_Deep_s_D6E$RevComp$",1,5201,"c(7, 6)"
"I-B","GCF_000156055.1$2_17409-57919_NC_009466_PHAGE_Clostr_phiSM101$merged_1_1-58952_NC_011836_PHAGE_Clostr_phiSM101$RevComp$",2,"GCF_000156055.1",1,"2_17409-57919_NC_009466_PHAGE_Clostr_phiSM101$merged_1_1-58952_NC_011836_PHAGE_Clostr_phiSM101$RevComp$",1,44893,"c(7, 3)"
"I-B","GCF_000479185.1$1_2023949-2058861_CM000440.1_PHAGE_Clostr_phiMMP04_NC_019422(8)$merged_1_1134549-1171985_AARG00000000_PHAGE_Clostr_phiMMP04$RevComp$",2,"GCF_000479185.1",2,"1_2023949-2058861_CM000440.1_PHAGE_Clostr_phiMMP04_NC_019422(8)$merged_1_1134549-1171985_AARG00000000_PHAGE_Clostr_phiMMP04$RevComp$",1,28924,"c(7, 6)"
"I-B","GCF_000252975.1$AJ242593$RevComp$$merged_1_21-40771_NC_003216_PHAGE_Lister_A118$RevComp$",3,"GCF_000252975.1",1,"AJ242593$RevComp$$merged_1_21-40771_NC_003216_PHAGE_Lister_A118$RevComp$",2,7302,"c(6, 4, 2)"
"I-E","GCF_000185265.1$AY007505$RevComp$$merged_1_103-34140_NC_004996_PHAGE_Strept_SM1$RevComp$",2,"GCF_000185265.1",1,"AY007505$RevComp$$merged_1_103-34140_NC_004996_PHAGE_Strept_SM1$RevComp$",1,6956,"c(6, 1)"
"II-A","GCF_000409675.1$EU409559$RevComp$$merged_1_557-49233_EU409559_PHAGE_Lactob_JCL1032_NC_019456(77)$RevComp$",2,"GCF_000409675.1",1,"EU409559$RevComp$$merged_1_557-49233_EU409559_PHAGE_Lactob_JCL1032_NC_019456(77)$RevComp$",1,15893,"c(6, 3)"
"I-E","GCF_000969645.2$EU876853$RevComp$$merged_1_1-46642_NC_011142_PHAGE_Iodoba_phiPLPE$RevComp$",2,"GCF_000969645.2",1,"EU876853$RevComp$$merged_1_1-46642_NC_011142_PHAGE_Iodoba_phiPLPE$RevComp$",1,36585,"c(6, 5)"
"I-F","GCF_000208565.1$GU903191$RevComp$$merged_KY705409$RevComp$",2,"GCF_000208565.1",1,"GU903191$RevComp$$merged_KY705409$RevComp$",1,16152,"c(6, 2)"
"I-C","GCF_000192165.1$KF188409$RevComp$$merged_1_1-36954_KF188409_PHAGE_Lactob_phiJB_NC_022775(46)$RevComp$",3,"GCF_000192165.1",1,"KF188409$RevComp$$merged_1_1-36954_KF188409_PHAGE_Lactob_phiJB_NC_022775(46)$RevComp$",1,7255,"c(6, 5, 3)"
"I-F","GCF_000481545.1$2_1399937-1434240_CP006937.1_PHAGE_Pseudo_F10_NC_007805(30)$merged_3_880372-919160_AEVV00000000_PHAGE_Pseudo_F10$RevComp$",2,"GCF_000481545.1",4,"2_1399937-1434240_CP006937.1_PHAGE_Pseudo_F10_NC_007805(30)$merged_3_880372-919160_AEVV00000000_PHAGE_Pseudo_F10$RevComp$",1,31156,"c(6, 5)"
"I-F","GCF_000465635.2$1_2040211-2062467_AFDA00000000_PHAGE_Acinet_Bphi_B1251$merged_1_1342844-1354339_NC_009085_PHAGE_Psychr_pOW20_A(6)$merged_2_865858-888420_AEPA00000000_PHAGE_Acinet_Bphi_B1251$RevComp$",2,"GCF_000465635.2",3,"1_2040211-2062467_AFDA00000000_PHAGE_Acinet_Bphi_B1251$merged_1_1342844-1354339_NC_009085_PHAGE_Psychr_pOW20_A(6)$merged_2_865858-888420_AEPA00000000_PHAGE_Acinet_Bphi_B1251$RevComp$",1,22236,"c(6, 5)"
"II-A","GCF_000960105.1$7000000159_____SRS063288_LANL_scaffold_36535$RevComp$$merged_7000000001_____SRS022530_LANL_scaffold_62421$RevComp$$merged_3300007079_____Ga0104033_100183$RevComp$",2,"GCF_000960105.1",1,"7000000159_____SRS063288_LANL_scaffold_36535$RevComp$$merged_7000000001_____SRS022530_LANL_scaffold_62421$RevComp$$merged_3300007079_____Ga0104033_100183$RevComp$",1,29382,"c(6, 2)"
"II-A","GCF_001556605.1$3300008756_____Ga0114092_100046$merged_3300008632_____Ga0111368_100001$merged_3300008630_____Ga0111367_100139$merged_3300008160_____Ga0114158_1000067$merged_3300007527_____Ga0105486_1000536$merged_7000000584_____SRS049318_LANL_scaffold_145806$merged_3300008483_____Ga0105906_1000063$merged_3300008363_____Ga0115180_100087$merged_3300008150_____Ga0114319_1000159$merged_7000000525_____SRS019124_WUGC_scaffold_731$RevComp$$merged_3300008140_____Ga0114165_1000097$RevComp$$merged_2124908012_____sp300_12714431$RevComp$$merged_3300008489_____Ga0111007_100142$RevComp$$merged_3300008134_____Ga0111464_100098$RevComp$$merged_3300008061_____Ga0111056_100252$RevComp$",2,"GCF_001556605.1",3,"3300008756_____Ga0114092_100046$merged_3300008632_____Ga0111368_100001$merged_3300008630_____Ga0111367_100139$merged_3300008160_____Ga0114158_1000067$merged_3300007527_____Ga0105486_1000536$merged_7000000584_____SRS049318_LANL_scaffold_145806$merged_3300008483_____Ga0105906_1000063$merged_3300008363_____Ga0115180_100087$merged_3300008150_____Ga0114319_1000159$merged_7000000525_____SRS019124_WUGC_scaffold_731$RevComp$$merged_3300008140_____Ga0114165_1000097$RevComp$$merged_2124908012_____sp300_12714431$RevComp$$merged_3300008489_____Ga0111007_100142$RevComp$$merged_3300008134_____Ga0111464_100098$RevComp$$merged_3300008061_____Ga0111056_100252$RevComp$",1,4690,"c(6, 5)"
"II-C","GCF_001078555.1$7000000624_____SRS024435_LANL_scaffold_13017$merged_7000000490_____C1877191$merged_3300014564_____Ga0169885_102261$merged_7000000570_____SRS051882_Baylor_scaffold_3869$RevComp$$merged_7000000334_____SRS015217_WUGC_scaffold_39225$RevComp$$merged_3300008712_____Ga0113873_100327$RevComp$",2,"GCF_001078555.1",1,"7000000624_____SRS024435_LANL_scaffold_13017$merged_7000000490_____C1877191$merged_3300014564_____Ga0169885_102261$merged_7000000570_____SRS051882_Baylor_scaffold_3869$RevComp$$merged_7000000334_____SRS015217_WUGC_scaffold_39225$RevComp$$merged_3300008712_____Ga0113873_100327$RevComp$",1,49004,"c(6, 2)"
"II-C","GCF_001807855.1$7000000553_____C2408275$RevComp$$merged_3300007339_____Ga0104971_100410$RevComp$",2,"GCF_001807855.1",1,"7000000553_____C2408275$RevComp$$merged_3300007339_____Ga0104971_100410$RevComp$",1,14589,"c(5, 1)"
"I-F","GCF_000173715.1$AY736146$merged_1_1-46484_NC_006949_PHAGE_Entero_ES18$merged_3_1842588-1879765_CP006631.1_PHAGE_Entero_Sf6_NC_005344(16)$merged_5_2959244-3015952_CP006055.1_PHAGE_Salmon_vB_SemP_Emek_NC_018275(21)$RevComp$$merged_5_2562294-2599778_NC_010067_PHAGE_Salmon_epsilon34(21)$RevComp$$merged_5_2559425-2599791_CP000880.1_PHAGE_Salmon_epsilon34_NC_011976(21)$RevComp$$merged_1_1313432-1351390_ABFG00000000_PHAGE_Entero_P22(14)$RevComp$",2,"GCF_000173715.1",2,"AY736146$merged_1_1-46484_NC_006949_PHAGE_Entero_ES18$merged_3_1842588-1879765_CP006631.1_PHAGE_Entero_Sf6_NC_005344(16)$merged_5_2959244-3015952_CP006055.1_PHAGE_Salmon_vB_SemP_Emek_NC_018275(21)$RevComp$$merged_5_2562294-2599778_NC_010067_PHAGE_Salmon_epsilon34(21)$RevComp$$merged_5_2559425-2599791_CP000880.1_PHAGE_Salmon_epsilon34_NC_011976(21)$RevComp$$merged_1_1313432-1351390_ABFG00000000_PHAGE_Entero_P22(14)$RevComp$",1,8288,"c(5, 4)"
"II-A","GCF_000212815.1$7000000261_____SRS016043_WUGC_scaffold_10880$merged_7000000132_____SRS012285_Baylor_scaffold_65860$merged_7000000692_____SRS019980_Baylor_scaffold_48624$RevComp$",2,"GCF_000212815.1",1,"7000000261_____SRS016043_WUGC_scaffold_10880$merged_7000000132_____SRS012285_Baylor_scaffold_65860$merged_7000000692_____SRS019980_Baylor_scaffold_48624$RevComp$",1,22639,"c(5, 2)"
"II-C","GCF_000614025.1$7000000503_____C3333952$merged_7000000125_____SRS015941_WUGC_scaffold_2450$merged_3300008136_____Ga0113979_100153$RevComp$$merged_3300007123_____Ga0102684_100031$RevComp$$merged_3300006256_____Ga0099352_1000048$RevComp$",2,"GCF_000614025.1",1,"7000000503_____C3333952$merged_7000000125_____SRS015941_WUGC_scaffold_2450$merged_3300008136_____Ga0113979_100153$RevComp$$merged_3300007123_____Ga0102684_100031$RevComp$$merged_3300006256_____Ga0099352_1000048$RevComp$",1,70683,"c(5, 4)"
"II-C","GCF_001837325.1$7000000085_____SRS018145_Baylor_scaffold_48970$RevComp$$merged_3300006745_____Ga0101799_100096$RevComp$",2,"GCF_001837325.1",1,"7000000085_____SRS018145_Baylor_scaffold_48970$RevComp$$merged_3300006745_____Ga0101799_100096$RevComp$",1,17163,"c(5, 2)"
"I-E","GCF_000480555.1$1_154438-194472_AZZI01000016_PHAGE_Pseudo_JBD88a_NC_020200(32)$merged_1_238609-278643_JIER01000002_PHAGE_Pseudo_JBD88a_NC_020200(32)$merged_1_88-36242_AXPX01000022_PHAGE_Pseudo_JBD88a_NC_020200(43)$merged_1_183900-221967_AXPX01000020_PHAGE_Pseudo_JBD88a_NC_020200(43)$merged_1_1-31645_JIEF01000026_PHAGE_Pseudo_JBD88a_NC_020200(26)$merged_DQ873690$RevComp$$merged_JN808773$RevComp$$merged_KU199709$RevComp$$merged_LT608331$RevComp$$merged_1_170-36020_NC_009818_PHAGE_Pseudo_MP22$RevComp$",2,"GCF_000480555.1",2,"1_154438-194472_AZZI01000016_PHAGE_Pseudo_JBD88a_NC_020200(32)$merged_1_238609-278643_JIER01000002_PHAGE_Pseudo_JBD88a_NC_020200(32)$merged_1_88-36242_AXPX01000022_PHAGE_Pseudo_JBD88a_NC_020200(43)$merged_1_183900-221967_AXPX01000020_PHAGE_Pseudo_JBD88a_NC_020200(43)$merged_1_1-31645_JIEF01000026_PHAGE_Pseudo_JBD88a_NC_020200(26)$merged_DQ873690$RevComp$$merged_JN808773$RevComp$$merged_KU199709$RevComp$$merged_LT608331$RevComp$$merged_1_170-36020_NC_009818_PHAGE_Pseudo_MP22$RevComp$",1,6097,"c(4, 1)"
"II-C","GCF_001813925.1$1_2532933-2557112_ACLH00000000_PHAGE_Rhodoc_REQ3$RevComp$$merged_3_2176948-2190872_NC_012590_PHAGE_Burkho_phiE255$RevComp$",2,"GCF_001813925.1",1,"1_2532933-2557112_ACLH00000000_PHAGE_Rhodoc_REQ3$RevComp$$merged_3_2176948-2190872_NC_012590_PHAGE_Burkho_phiE255$RevComp$",2,5333,"c(4, 1)"
"I-E","GCF_000647475.1$7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$RevComp$$merged_6_1338667-1367773_AFDY00000000_PHAGE_Entero_mEp237$RevComp$",2,"GCF_000647475.1",1,"7_1361282-1379721_AFDY00000000_PHAGE_Entero_P2$RevComp$$merged_6_1338667-1367773_AFDY00000000_PHAGE_Entero_mEp237$RevComp$",1,3760,"c(4, 1)"
"I-F","GCF_002025515.1$6_3384181-3445958_CP006853.1_PHAGE_Pseudo_PAJU2(43)$RevComp$$merged_2_3384181-3440506_NC_023019_PHAGE_Pseudo_PAJU2_NC_011373(43)$RevComp$",2,"GCF_002025515.1",2,"6_3384181-3445958_CP006853.1_PHAGE_Pseudo_PAJU2(43)$RevComp$$merged_2_3384181-3440506_NC_023019_PHAGE_Pseudo_PAJU2_NC_011373(43)$RevComp$",1,38929,"c(4, 3)"
"I-F","GCF_001836655.1$1_170-36020_NC_009818_PHAGE_Pseudo_MP22$merged_1_88-36242_AXPX01000022_PHAGE_Pseudo_JBD88a_NC_020200(43)$RevComp$$merged_1_154438-194472_AZZI01000016_PHAGE_Pseudo_JBD88a_NC_020200(32)$RevComp$$merged_1_238609-278643_JIER01000002_PHAGE_Pseudo_JBD88a_NC_020200(32)$RevComp$$merged_DQ873690$merged_EU272037$merged_JN811560$merged_JQ762257$merged_JX434031$merged_KM389336$merged_LT608331$merged_3_1555271-1593534_AEEX00000000_PHAGE_Pseudo_JBD24$merged_3_2831056-2875765_CP006931.1_PHAGE_Pseudo_B3_NC_006548(37)$merged_1_83229-125687_JMBR02000067_PHAGE_Pseudo_MP38_NC_011611(30)$merged_1_170-36496_NC_011611_PHAGE_Pseudo_MP38$merged_1_183900-221967_AXPX01000020_PHAGE_Pseudo_JBD88a_NC_020200(43)$RevComp$$merged_1_360880-398481_AQFN01000014_PHAGE_Pseudo_MP38_NC_011611(29)$RevComp$$merged_1_73869-111030_AXRC01000014_PHAGE_Pseudo_JD024_NC_024330(38)$RevComp$$merged_1_1-31645_JIEF01000026_PHAGE_Pseudo_JBD88a_NC_020200(26)$RevComp$",2,"GCF_001836655.1",2,"1_170-36020_NC_009818_PHAGE_Pseudo_MP22$merged_1_88-36242_AXPX01000022_PHAGE_Pseudo_JBD88a_NC_020200(43)$RevComp$$merged_1_154438-194472_AZZI01000016_PHAGE_Pseudo_JBD88a_NC_020200(32)$RevComp$$merged_1_238609-278643_JIER01000002_PHAGE_Pseudo_JBD88a_NC_020200(32)$RevComp$$merged_DQ873690$merged_EU272037$merged_JN811560$merged_JQ762257$merged_JX434031$merged_KM389336$merged_LT608331$merged_3_1555271-1593534_AEEX00000000_PHAGE_Pseudo_JBD24$merged_3_2831056-2875765_CP006931.1_PHAGE_Pseudo_B3_NC_006548(37)$merged_1_83229-125687_JMBR02000067_PHAGE_Pseudo_MP38_NC_011611(30)$merged_1_170-36496_NC_011611_PHAGE_Pseudo_MP38$merged_1_183900-221967_AXPX01000020_PHAGE_Pseudo_JBD88a_NC_020200(43)$RevComp$$merged_1_360880-398481_AQFN01000014_PHAGE_Pseudo_MP38_NC_011611(29)$RevComp$$merged_1_73869-111030_AXRC01000014_PHAGE_Pseudo_JD024_NC_024330(38)$RevComp$$merged_1_1-31645_JIEF01000026_PHAGE_Pseudo_JBD88a_NC_020200(26)$RevComp$",1,30707,"c(4, 1)"
"I-F","GCF_000629605.1$KM389402$merged_AB008550$RevComp$$merged_Y13918$RevComp$$merged_5_6225265-6248155_CP006931.1_PHAGE_Pseudo_phiCTX_NC_003278(26)$RevComp$$merged_1_362-34785_NC_003278_PHAGE_Pseudo_phiCTX$RevComp$$merged_6_5359600-5412475_NZ_HG974234.1_PHAGE_Pseudo_phiCTX_NC_003278(36)$RevComp$$merged_16_6073616-6113168_CP006853.1_PHAGE_Pseudo_phiCTX(35)$RevComp$$merged_6_6075250-6125559_NC_023019_PHAGE_Pseudo_phiCTX_NC_003278(35)$RevComp$",2,"GCF_000629605.1",3,"KM389402$merged_AB008550$RevComp$$merged_Y13918$RevComp$$merged_5_6225265-6248155_CP006931.1_PHAGE_Pseudo_phiCTX_NC_003278(26)$RevComp$$merged_1_362-34785_NC_003278_PHAGE_Pseudo_phiCTX$RevComp$$merged_6_5359600-5412475_NZ_HG974234.1_PHAGE_Pseudo_phiCTX_NC_003278(36)$RevComp$$merged_16_6073616-6113168_CP006853.1_PHAGE_Pseudo_phiCTX(35)$RevComp$$merged_6_6075250-6125559_NC_023019_PHAGE_Pseudo_phiCTX_NC_003278(35)$RevComp$",1,27909,"c(4, 3)"
"I-C","GCF_001814095.1$7000000462_____SRS012279_Baylor_scaffold_28588$merged_7000000556_____SRS057205_LANL_scaffold_22975$RevComp$$merged_7000000194_____SRS022077_Baylor_scaffold_1920$RevComp$",2,"GCF_001814095.1",1,"7000000462_____SRS012279_Baylor_scaffold_28588$merged_7000000556_____SRS057205_LANL_scaffold_22975$RevComp$$merged_7000000194_____SRS022077_Baylor_scaffold_1920$RevComp$",1,9195,"c(4, 3)"
"I-B","GCF_000451305.2$AY855346$RevComp$$merged_1_201-53313_NC_007917_PHAGE_Clostr_CD119$RevComp$",2,"GCF_000451305.2",2,"AY855346$RevComp$$merged_1_201-53313_NC_007917_PHAGE_Clostr_CD119$RevComp$",1,31983,"c(3, 2)"
"I-B","GCF_900129365.1$CP000315$RevComp$$merged_1_4633-35878_NC_008265_PHAGE_Clostr_phiSM101$RevComp$",2,"GCF_900129365.1",2,"CP000315$RevComp$$merged_1_4633-35878_NC_008265_PHAGE_Clostr_phiSM101$RevComp$",1,29412,"c(3, 1)"
"I-E","GCF_000480555.1$KM389212$merged_KU199710$merged_KM389210$RevComp$$merged_KM389463$RevComp$",2,"GCF_000480555.1",2,"KM389212$merged_KU199710$merged_KM389210$RevComp$$merged_KM389463$RevComp$",1,35570,"c(3, 2)"
"I-E","GCF_000461675.1$1_1510-34786_JMJC01000012_PHAGE_Burkho_phiE255_NC_009237(14)$merged_5_2045918-2095388_CP006784.1_PHAGE_Pectob_ZF40_NC_019522(13)$RevComp$$merged_5_2045918-2089366_NC_022648_PHAGE_Pectob_ZF40_NC_019522(13)$RevComp$",2,"GCF_000461675.1",1,"1_1510-34786_JMJC01000012_PHAGE_Burkho_phiE255_NC_009237(14)$merged_5_2045918-2095388_CP006784.1_PHAGE_Pectob_ZF40_NC_019522(13)$RevComp$$merged_5_2045918-2089366_NC_022648_PHAGE_Pectob_ZF40_NC_019522(13)$RevComp$",1,16316,"c(3, 1)"
"I-B","GCF_000010045.1$1_156042-180336_NC_016047_PHAGE_Brocho_NF5$RevComp$$merged_3_213728-243314_NC_016047_PHAGE_Brocho_NF5$RevComp$",2,"GCF_000010045.1",1,"1_156042-180336_NC_016047_PHAGE_Brocho_NF5$RevComp$$merged_3_213728-243314_NC_016047_PHAGE_Brocho_NF5$RevComp$",2,10347,"c(3, 2)"
"I-B","GCF_001815715.1$1_979884-996917_AESB00000000_PHAGE_Paenib_PG1(3)$RevComp$$merged_1_1283254-1306772_NC_015425_PHAGE_Strept_SMP$RevComp$",2,"GCF_001815715.1",4,"1_979884-996917_AESB00000000_PHAGE_Paenib_PG1(3)$RevComp$$merged_1_1283254-1306772_NC_015425_PHAGE_Strept_SMP$RevComp$",1,9902,"c(3, 1)"
"II-A","GCF_001556605.1$7000000039_____SRS013164_Baylor_scaffold_54253$merged_3300006459_____Ga0100222_100383$RevComp$",2,"GCF_001556605.1",3,"7000000039_____SRS013164_Baylor_scaffold_54253$merged_3300006459_____Ga0100222_100383$RevComp$",1,22977,"c(3, 2)"
"II-A","GCF_000167735.1$2_776540-818756_CP000259.1_PHAGE_Temper_phiNIH1_1_NC_003157(14)$merged_2_775802-820960_AE004092.1_PHAGE_Temper_1$merged_1_983557-1040216_CP000056.1_PHAGE_Strept_pyogenes_315_2_NC_004585(18)$RevComp$$merged_4_1157796-1200056_AFRY01000001.1_PHAGE_Strept_pyogenes_315_3_NC_004586(14)$RevComp$",2,"GCF_000167735.1",1,"2_776540-818756_CP000259.1_PHAGE_Temper_phiNIH1_1_NC_003157(14)$merged_2_775802-820960_AE004092.1_PHAGE_Temper_1$merged_1_983557-1040216_CP000056.1_PHAGE_Strept_pyogenes_315_2_NC_004585(18)$RevComp$$merged_4_1157796-1200056_AFRY01000001.1_PHAGE_Strept_pyogenes_315_3_NC_004586(14)$RevComp$",1,29739,"c(2, 1)"
"II-C","GCF_000463465.1$7000000657_____SRS016501_LANL_scaffold_9185$RevComp$$merged_3300008274_____Ga0114252_100041$RevComp$$merged_7000000276_____SRS054687_LANL_scaffold_2257$merged_7000000139_____SRS013502_Baylor_scaffold_7533$merged_3300008742_____Ga0115672_100085$merged_3300008739_____Ga0114021_100145$merged_3300008709_____Ga0113871_100027$merged_3300008707_____Ga0115605_100002$merged_3300008636_____Ga0111420_100233$merged_3300008522_____Ga0111045_100050$merged_3300008504_____Ga0114860_100121$merged_3300008305_____Ga0115183_100041$merged_3300008098_____Ga0114255_100227$merged_3300007773_____Ga0105763_100001$merged_3300007648_____Ga0105531_100142$merged_3300007531_____Ga0105502_1000180$merged_3300007339_____Ga0104971_100053$merged_3300007086_____Ga0103278_100001$merged_3300006250_____Ga0099391_100170$merged_3300008524_____Ga0111046_100076$merged_3300006320_____Ga0099576_1000079$merged_7000000622_____SRS077736_LANL_scaffold_31642$RevComp$$merged_7000000554_____SRS058336_LANL_scaffold_21294$RevComp$$merged_7000000286_____SRS024081_LANL_scaffold_22354$RevComp$$merged_7000000058_____SRS064774_LANL_scaffold_13292$RevComp$$merged_3300008747_____Ga0115677_100093$RevComp$$merged_3300008715_____Ga0115609_1000152$RevComp$$merged_3300008611_____Ga0111137_1000150$RevComp$$merged_3300008275_____Ga0114253_1000129$RevComp$$merged_3300008153_____Ga0114320_1000078$RevComp$$merged_3300008141_____Ga0114170_100234$RevComp$$merged_3300007976_____Ga0114368_100159$RevComp$$merged_3300007128_____Ga0102725_100053$RevComp$$merged_3300006319_____Ga0099581_100124$RevComp$$merged_3300006254_____Ga0099365_1000011$RevComp$$merged_7000000389_____SRS017439_Baylor_scaffold_33205$RevComp$",2,"GCF_000463465.1",1,"7000000657_____SRS016501_LANL_scaffold_9185$RevComp$$merged_3300008274_____Ga0114252_100041$RevComp$$merged_7000000276_____SRS054687_LANL_scaffold_2257$merged_7000000139_____SRS013502_Baylor_scaffold_7533$merged_3300008742_____Ga0115672_100085$merged_3300008739_____Ga0114021_100145$merged_3300008709_____Ga0113871_100027$merged_3300008707_____Ga0115605_100002$merged_3300008636_____Ga0111420_100233$merged_3300008522_____Ga0111045_100050$merged_3300008504_____Ga0114860_100121$merged_3300008305_____Ga0115183_100041$merged_3300008098_____Ga0114255_100227$merged_3300007773_____Ga0105763_100001$merged_3300007648_____Ga0105531_100142$merged_3300007531_____Ga0105502_1000180$merged_3300007339_____Ga0104971_100053$merged_3300007086_____Ga0103278_100001$merged_3300006250_____Ga0099391_100170$merged_3300008524_____Ga0111046_100076$merged_3300006320_____Ga0099576_1000079$merged_7000000622_____SRS077736_LANL_scaffold_31642$RevComp$$merged_7000000554_____SRS058336_LANL_scaffold_21294$RevComp$$merged_7000000286_____SRS024081_LANL_scaffold_22354$RevComp$$merged_7000000058_____SRS064774_LANL_scaffold_13292$RevComp$$merged_3300008747_____Ga0115677_100093$RevComp$$merged_3300008715_____Ga0115609_1000152$RevComp$$merged_3300008611_____Ga0111137_1000150$RevComp$$merged_3300008275_____Ga0114253_1000129$RevComp$$merged_3300008153_____Ga0114320_1000078$RevComp$$merged_3300008141_____Ga0114170_100234$RevComp$$merged_3300007976_____Ga0114368_100159$RevComp$$merged_3300007128_____Ga0102725_100053$RevComp$$merged_3300006319_____Ga0099581_100124$RevComp$$merged_3300006254_____Ga0099365_1000011$RevComp$$merged_7000000389_____SRS017439_Baylor_scaffold_33205$RevComp$",1,33756,"c(2, 1)"
"I-B","GCF_000168595.2$1_680997-714316_CP001602.2_PHAGE_Lister_A006_NC_009815(9)$merged_1_680997-714314_CP001602_PHAGE_Lister_A118$merged_1_114039-146705_NC_021823_PHAGE_Lister_A006(7)$merged_2_680825-719174_NC_018591_PHAGE_Lister_A006",2,"GCF_000168595.2",5,"1_680997-714316_CP001602.2_PHAGE_Lister_A006_NC_009815(9)$merged_1_680997-714314_CP001602_PHAGE_Lister_A118$merged_1_114039-146705_NC_021823_PHAGE_Lister_A006(7)$merged_2_680825-719174_NC_018591_PHAGE_Lister_A006",1,12962,"c(50, 1)"
"I-B","GCF_001914435.1$AB823818$merged_1_355-38054_NC_021784_PHAGE_Thermu_OH2_NC_021784(60)$merged_1_262451-307087_CP003125_PHAGE_Clostr_phiC2$RevComp$",2,"GCF_001914435.1",1,"AB823818$merged_1_355-38054_NC_021784_PHAGE_Thermu_OH2_NC_021784(60)$merged_1_262451-307087_CP003125_PHAGE_Clostr_phiC2$RevComp$",1,25626,"c(28, 12)"
"II-A","GCF_000322485.1$1_554829-600594_AE009948.1_PHAGE_Strept_pyogenes_315_3_NC_004586(19)$merged_1_544482-586079_NC_007432_PHAGE_Strept_3$merged_1_540785-586079_CP000114_PHAGE_Strept_3",2,"GCF_000322485.1",2,"1_554829-600594_AE009948.1_PHAGE_Strept_pyogenes_315_3_NC_004586(19)$merged_1_544482-586079_NC_007432_PHAGE_Strept_3$merged_1_540785-586079_CP000114_PHAGE_Strept_3",1,19040,"c(19, 5)"
"I-E","GCF_000487215.1$6_4146054-4185150_ABFF00000000_PHAGE_Gifsy_1(13)$merged_7_4314690-4368086_CP001127.1_PHAGE_Entero_SfV_NC_003444(26)$merged_4_2146526-2176518_ABEJ00000000_PHAGE_Salmon_ST64B(20)",2,"GCF_000487215.1",3,"6_4146054-4185150_ABFF00000000_PHAGE_Gifsy_1(13)$merged_7_4314690-4368086_CP001127.1_PHAGE_Entero_SfV_NC_003444(26)$merged_4_2146526-2176518_ABEJ00000000_PHAGE_Salmon_ST64B(20)",1,14660,"c(4, 1)"
